1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Jun-2021
15579.0,14992.0,15174.0,15738.0,15465.0,14657.0,14963.0,14899.0,15263.0,15461.0,14810.0,15171.0,15476.0,15659.0,15754.0,15978.0,16740.0,16217.0,16878.0,16904.0,16970.0,19449.0,8829.0
15082.0,15261.0,16285.0,16927.0,17858.0,17929.0,19029.0,18872.0,18687.0,19335.0,19224.0,19623.0,20343.0,20785.0,21468.0,21793.0,22879.0,23902.0,24657.0,24715.0,25586.0,30285.0,15521.0
9537.0,9697.0,9815.0,9853.0,9708.0,10111.0,10194.0,10060.0,10303.0,10268.0,10100.0,10201.0,10823.0,10730.0,10897.0,11516.0,11984.0,12203.0,12504.0,12774.0,12744.0,13791.0,6772.0
73981.0,74800.0,74710.0,74009.0,73689.0,71371.0,71963.0,70356.0,69662.0,70026.0,68277.0,69495.0,70558.0,70534.0,71403.0,71316.0,72271.0,73155.0,74846.0,75765.0,75010.0,96825.0,43576.0
13676.0,13425.0,14129.0,14344.0,14805.0,14298.0,14983.0,15296.0,15482.0,16005.0,15643.0,15931.0,16452.0,16710.0,16805.0,17579.0,17685.0,18365.0,18673.0,19007.0,19512.0,23850.0,11685.0
159927.0,158203.0,159240.0,158118.0,155877.0,152681.0,152427.0,148806.0,147680.0,148698.0,146475.0,146432.0,149174.0,148991.0,150919.0,149944.0,153628.0,154358.0,155358.0,157183.0,156375.0,202973.0,93039.0
69600.0,71935.0,70934.0,72027.0,73459.0,72384.0,74638.0,74716.0,76046.0,77283.0,77117.0,78773.0,79882.0,81925.0,83329.0,85367.0,89133.0,90465.0,93157.0,93885.0,95881.0,109033.0,56845.0
6103.0,5856.0,6048.0,5892.0,6090.0,5601.0,5744.0,5868.0,5561.0,5871.0,5914.0,5944.0,5965.0,6038.0,6233.0,6184.0,6223.0,6242.0,6415.0,6445.0,6702.0,8069.0,3361.0
108517.0,108125.0,108027.0,109766.0,109110.0,106288.0,109031.0,106825.0,106534.0,109767.0,107156.0,108711.0,111427.0,112498.0,113258.0,114509.0,118188.0,119572.0,123648.0,124264.0,123717.0,143587.0,69282.0
34700.0,35079.0,34682.0,35502.0,35721.0,34483.0,36180.0,35427.0,36032.0,37014.0,35601.0,36529.0,37175.0,36870.0,38384.0,38464.0,39422.0,39276.0,40452.0,40933.0,40930.0,47733.0,23941.0
29422.0,29552.0,30158.0,31119.0,30912.0,30313.0,31091.0,31380.0,31403.0,31967.0,31636.0,31890.0,32788.0,32759.0,33939.0,34151.0,35705.0,35778.0,36624.0,36187.0,37370.0,40150.0,20884.0
130283.0,130813.0,129729.0,130223.0,129769.0,127640.0,129532.0,125539.0,125104.0,127462.0,124780.0,124596.0,128237.0,126981.0,129123.0,128434.0,132598.0,133040.0,135656.0,134702.0,133983.0,155023.0,75048.0
9708.0,10027.0,10021.0,10246.0,10039.0,9769.0,10007.0,9690.0,9723.0,9738.0,9395.0,9579.0,9581.0,9354.0,9792.0,9770.0,10163.0,9735.0,10157.0,10083.0,10256.0,11793.0,5614.0
36053.0,36948.0,36612.0,37736.0,38112.0,37276.0,38707.0,38761.0,39439.0,40289.0,40449.0,41614.0,42072.0,43198.0,44582.0,45454.0,47198.0,48130.0,49441.0,50640.0,50962.0,61581.0,31878.0
6953.0,7021.0,6923.0,6898.0,7132.0,6833.0,7086.0,7084.0,6826.0,7083.0,6923.0,7100.0,7314.0,7333.0,7099.0,7507.0,7731.0,7845.0,7996.0,7971.0,8270.0,9965.0,4322.0
53765.0,55246.0,55151.0,56606.0,57313.0,55829.0,57260.0,56838.0,57087.0,58820.0,58288.0,59578.0,60541.0,61956.0,63406.0,64661.0,66570.0,67857.0,70096.0,71078.0,71935.0,83976.0,42976.0
146858.0,149939.0,152779.0,155524.0,154870.0,152870.0,156457.0,157150.0,160548.0,164914.0,163249.0,166527.0,168640.0,174187.0,179183.0,183912.0,189654.0,191966.0,198106.0,202211.0,203362.0,250167.0,130410.0
12058.0,12364.0,12662.0,13116.0,13412.0,13331.0,13432.0,13764.0,14143.0,14040.0,14138.0,14776.0,15266.0,15676.0,16366.0,16719.0,17334.0,17913.0,18035.0,18354.0,18736.0,21465.0,10519.0
4993.0,5127.0,5201.0,5075.0,5120.0,4995.0,5066.0,5048.0,5179.0,5211.0,5034.0,5380.0,5433.0,5491.0,5639.0,5623.0,5919.0,5909.0,6007.0,6027.0,5956.0,6388.0,3211.0
55320.0,56282.0,56280.0,57196.0,58282.0,56550.0,57855.0,57690.0,58225.0,59100.0,58653.0,59032.0,60804.0,61564.0,62716.0,63598.0,65577.0,66473.0,68579.0,69359.0,70325.0,80553.0,42168.0
43865.0,43941.0,44642.0,45338.0,45920.0,44770.0,46203.0,46120.0,47323.0,48627.0,48270.0,48146.0,49691.0,50105.0,51264.0,52099.0,54595.0,54769.0,56995.0,56877.0,58263.0,62995.0,32372.0
21049.0,21114.0,20967.0,21016.0,21306.0,20793.0,20780.0,20672.0,21086.0,21557.0,21386.0,21275.0,21867.0,21915.0,21843.0,22186.0,22752.0,22732.0,23276.0,23478.0,23404.0,26421.0,13825.0
46672.0,46461.0,46628.0,46981.0,46177.0,45600.0,46709.0,46153.0,46241.0,46815.0,45697.0,47308.0,48410.0,48384.0,50026.0,50291.0,51264.0,51815.0,52681.0,53684.0,54189.0,62638.0,28107.0
4042.0,3920.0,4029.0,4174.0,4172.0,3955.0,4099.0,4311.0,4266.0,4227.0,4283.0,4438.0,4387.0,4481.0,4516.0,4666.0,4778.0,4722.0,4768.0,5070.0,5121.0,6014.0,2839.0
